n1,n2,n3,n4,media,status
6.208,7.936,7.134,2.197,5.869,0
3.163,6.069,7.389,2.220,4.710,0
3.283,8.996,4.248,4.936,5.366,0
1.673,2.903,6.159,3.368,3.526,0
2.024,0.374,8.755,0.558,2.928,0
2.261,8.524,3.873,2.824,4.371,0
8.865,6.197,8.113,6.894,7.517,1
1.328,5.926,7.161,1.846,4.065,0
7.826,2.377,1.462,5.141,4.202,0
5.970,9.896,3.703,7.042,6.653,1
4.923,5.638,6.026,5.278,5.466,0
9.581,8.079,5.326,3.037,6.506,1
2.130,7.850,8.446,6.500,6.231,1
3.523,5.448,0.084,3.391,3.112,0
5.502,2.364,3.836,4.008,3.928,0
5.964,4.825,3.272,5.330,4.848,0
7.626,8.571,4.905,4.967,6.517,1
0.368,2.920,5.700,5.900,3.722,0
8.446,9.792,5.567,9.251,8.264,1
7.961,4.839,8.468,2.694,5.990,0
8.706,8.047,6.745,6.123,7.405,1
3.769,7.417,2.040,5.613,4.710,0
9.495,9.345,8.247,9.033,9.030,1
9.340,3.681,0.119,2.288,3.857,0
1.337,9.445,6.390,0.342,4.378,0
2.369,8.856,7.753,9.597,7.144,1
8.157,3.801,8.682,2.371,5.753,0
8.719,7.405,2.218,5.164,5.876,0
9.005,1.772,8.574,0.171,4.880,0
7.259,2.300,1.464,1.484,3.127,0
5.272,0.030,2.531,1.135,2.242,0
2.205,3.141,8.661,0.130,3.534,0
5.067,1.896,2.282,6.624,3.968,0
2.101,1.835,5.498,5.410,3.711,0
4.984,7.140,4.976,0.986,4.521,0
8.986,7.243,0.852,0.748,4.457,0
9.106,5.728,2.050,3.766,5.162,0
4.107,7.450,8.267,3.288,5.778,0
3.475,5.168,4.348,7.209,5.050,0
5.972,0.558,4.438,5.598,4.141,0
2.271,3.612,3.050,4.098,3.258,0
3.002,9.803,4.210,9.122,6.534,1
9.494,6.784,8.764,9.759,8.700,1
3.856,1.796,9.574,5.415,5.160,0
0.099,1.097,0.851,4.984,1.758,0
3.722,8.378,8.055,8.673,7.207,1
6.584,4.019,8.625,8.879,7.027,1
1.997,5.365,5.553,1.743,3.664,0
7.816,3.157,6.735,8.507,6.554,1
4.874,9.913,9.032,5.884,7.426,1
8.335,3.015,4.435,8.219,6.001,1
1.484,8.981,4.435,5.350,5.063,0
2.474,9.117,0.104,0.077,2.943,0
1.566,1.288,8.535,4.684,4.018,0
3.007,2.310,3.513,5.985,3.704,0
5.475,3.182,2.930,5.359,4.237,0
8.442,6.882,9.845,4.780,7.487,1
3.508,7.494,9.250,8.882,7.284,1
3.167,1.672,0.581,7.742,3.290,0
4.330,8.881,7.863,2.977,6.013,1
1.597,5.838,1.634,5.546,3.654,0
1.524,1.005,1.354,9.430,3.328,0
6.571,8.808,5.601,6.788,6.942,1
4.976,9.795,4.739,9.843,7.339,1
9.015,4.092,2.581,8.201,5.972,0
2.689,2.552,0.868,4.994,2.776,0
0.284,0.188,1.796,8.118,2.597,0
4.674,5.128,1.774,3.088,3.666,0
4.283,9.264,5.437,4.927,5.978,0
1.979,7.527,3.386,2.667,3.889,0
4.490,4.760,0.572,3.219,3.260,0
0.355,5.506,3.944,3.913,3.429,0
8.960,0.574,8.527,6.650,6.178,1
3.613,2.128,6.764,8.581,5.272,0
5.573,8.004,7.289,8.645,7.378,1
4.561,3.500,6.329,2.559,4.238,0
7.892,3.890,4.192,4.554,5.132,0
2.285,6.852,1.437,2.963,3.384,0
9.632,4.323,9.549,3.352,6.714,1
4.018,8.939,0.555,4.523,4.509,0
0.951,7.326,5.062,7.315,5.164,0
6.529,8.461,0.497,2.239,4.431,0
6.248,5.013,3.411,4.649,4.830,0
5.046,8.684,8.265,9.156,7.788,1
7.226,2.773,5.077,3.607,4.671,0
1.565,5.892,2.684,1.213,2.839,0
7.993,4.793,6.745,9.111,7.160,1
1.504,8.929,3.552,3.063,4.262,0
2.724,4.417,5.412,5.734,4.572,0
8.597,6.190,8.126,7.947,7.715,1
7.863,0.191,7.414,6.641,5.527,0
2.287,1.549,8.199,5.535,4.392,0
1.772,6.338,9.234,2.976,5.080,0
2.585,7.683,2.167,2.429,3.716,0
1.464,7.900,7.042,5.173,5.395,0
6.504,2.866,6.552,6.718,5.660,0
3.160,2.722,6.807,1.510,3.550,0
5.099,3.508,1.935,2.949,3.373,0
1.104,7.528,4.520,1.375,3.632,0
3.595,5.383,2.893,8.849,5.180,0
4.348,5.692,3.398,3.504,4.235,0
8.282,4.365,1.951,1.075,3.918,0
0.977,2.515,1.498,1.238,1.557,0
1.917,9.913,6.285,3.273,5.347,0
0.237,4.397,5.367,2.721,3.180,0
4.816,6.458,5.086,6.366,5.681,0
7.152,6.143,3.681,1.166,4.536,0
1.797,8.208,2.082,2.824,3.728,0
7.043,5.899,9.277,1.766,5.996,0
4.650,3.677,2.712,7.530,4.642,0
7.907,2.241,1.491,6.914,4.638,0
7.931,6.072,2.791,7.673,6.117,1
3.631,0.869,6.038,7.034,4.393,0
2.944,2.303,9.971,2.372,4.397,0
3.018,7.010,2.159,8.001,5.047,0
2.235,3.542,5.752,6.177,4.427,0
5.141,4.239,5.407,3.017,4.451,0
5.713,8.957,1.320,9.089,6.270,1
1.063,3.339,4.851,0.293,2.387,0
9.050,3.941,1.987,2.463,4.360,0
0.585,1.455,4.392,0.623,1.764,0
7.279,0.280,9.526,4.964,5.512,0
2.086,4.930,3.901,6.460,4.344,0
5.712,2.781,6.356,8.569,5.854,0
6.454,9.828,7.505,8.418,8.051,1
6.714,0.789,4.482,1.154,3.285,0
3.289,7.291,2.175,2.428,3.796,0
5.139,0.077,6.122,6.691,4.507,0
4.731,5.947,5.785,0.400,4.216,0
3.034,1.970,3.523,8.008,4.134,0
3.226,0.570,0.856,0.015,1.167,0
8.664,6.984,5.009,3.731,6.097,1
5.142,4.135,6.949,6.525,5.688,0
9.652,6.165,7.277,9.861,8.239,1
2.794,7.736,2.230,3.703,4.116,0
2.990,8.866,1.477,2.520,3.963,0
5.488,2.023,6.007,8.696,5.554,0
7.259,6.475,8.945,3.015,6.423,1
2.706,6.442,9.343,7.606,6.524,1
7.586,7.691,3.922,9.203,7.101,1
3.001,0.757,4.980,3.628,3.091,0
7.564,6.589,4.365,6.491,6.252,1
3.802,8.066,3.463,4.627,4.990,0
3.942,8.770,3.278,7.463,5.863,0
6.844,0.536,2.679,6.811,4.218,0
0.634,5.222,9.864,0.242,3.991,0
2.222,0.210,6.318,0.799,2.387,0
3.279,6.820,3.379,0.886,3.591,0
0.533,0.813,7.884,8.692,4.480,0
1.648,5.130,4.513,2.384,3.418,0
8.744,5.384,9.436,4.873,7.109,1
6.770,7.741,5.030,4.991,6.133,1
1.043,9.899,1.995,1.495,3.608,0
1.790,7.462,3.474,5.708,4.608,0
6.163,7.312,5.324,5.317,6.029,1
8.375,4.550,8.985,3.083,6.248,1
9.959,9.934,1.751,6.830,7.119,1
3.494,6.572,3.766,7.818,5.412,0
5.166,1.926,5.280,8.592,5.241,0
8.930,5.987,3.844,3.784,5.637,0
6.424,6.882,6.621,7.589,6.879,1
1.737,1.157,5.001,8.982,4.219,0
2.567,4.046,9.496,3.946,5.014,0
9.928,9.033,4.733,5.922,7.404,1
2.958,6.544,3.718,2.455,3.919,0
2.061,1.846,7.193,5.058,4.039,0
2.663,1.936,8.973,9.367,5.735,0
9.534,9.044,4.221,7.088,7.472,1
7.812,4.291,6.575,8.197,6.719,1
7.833,8.298,8.678,7.774,8.145,1
2.981,5.097,1.013,8.658,4.437,0
7.534,9.035,1.014,5.848,5.858,0
0.908,1.370,0.296,2.927,1.375,0
1.259,1.377,3.359,8.752,3.687,0
0.840,3.091,1.970,4.715,2.654,0
7.771,4.107,1.116,8.084,5.270,0
9.806,0.228,9.130,7.776,6.735,1
0.864,0.175,5.296,4.222,2.639,0
0.788,9.162,3.625,4.535,4.528,0
6.138,0.280,8.419,4.183,4.755,0
2.532,8.532,4.839,2.084,4.497,0
3.478,5.610,8.309,1.892,4.822,0
3.028,9.180,4.093,5.420,5.430,0
5.619,0.032,8.961,7.018,5.408,0
9.197,1.166,7.507,1.175,4.761,0
4.946,8.097,8.147,9.817,7.752,1
4.082,4.827,6.739,1.975,4.406,0
2.978,4.356,0.110,2.101,2.386,0
3.992,3.083,1.315,2.939,2.832,0
9.067,5.110,0.773,7.594,5.636,0
0.834,7.457,4.049,6.068,4.602,0
3.894,0.176,5.637,9.119,4.707,0
6.178,6.567,1.055,5.835,4.909,0
5.942,2.784,5.470,9.310,5.876,0
3.110,8.383,8.474,6.908,6.719,1
0.244,1.140,3.658,7.690,3.183,0
5.592,0.775,8.745,5.391,5.126,0
2.174,5.576,1.195,7.801,4.187,0
3.596,0.902,4.740,5.059,3.575,0
1.849,3.196,2.775,0.912,2.183,0
1.197,2.186,0.206,1.934,1.381,0
8.607,8.664,9.622,1.665,7.140,1
5.708,0.072,3.354,0.177,2.328,0
8.631,3.344,9.817,8.426,7.554,1
1.870,3.131,3.623,5.293,3.479,0
8.295,1.688,0.847,2.353,3.296,0
3.714,0.767,1.821,2.150,2.113,0
1.829,1.982,6.644,0.448,2.726,0
3.582,2.654,8.611,4.963,4.952,0
8.640,2.129,3.716,0.725,3.803,0
9.329,2.761,8.471,8.929,7.372,1
2.374,2.431,3.193,2.094,2.523,0
6.071,6.903,3.747,1.047,4.442,0
9.605,6.653,0.560,5.660,5.619,0
2.430,4.667,2.479,8.554,4.533,0
4.749,7.635,7.427,3.020,5.708,0
1.682,6.613,6.183,6.268,5.186,0
6.593,4.046,2.622,2.297,3.889,0
5.156,7.308,1.134,0.736,3.583,0
8.918,7.989,1.946,4.653,5.877,0
4.359,0.664,2.278,9.057,4.090,0
4.242,5.407,5.052,8.314,5.754,0
4.578,7.780,8.264,8.537,7.290,1
6.283,9.742,2.922,6.408,6.339,1
8.865,5.709,2.234,7.809,6.154,1
9.238,2.448,7.822,1.546,5.264,0
9.570,9.667,4.087,3.698,6.756,1
9.354,6.104,4.063,2.124,5.411,0
4.210,8.126,9.206,0.456,5.499,0
0.819,2.485,2.662,3.568,2.384,0
3.762,3.228,7.077,6.554,5.155,0
3.807,0.299,0.485,1.138,1.432,0
9.163,0.043,8.635,3.939,5.445,0
7.986,3.958,2.022,3.918,4.471,0
2.052,7.892,7.096,4.481,5.380,0
0.778,9.535,3.385,4.346,4.511,0
7.357,0.258,3.429,0.257,2.825,0
2.468,4.619,1.452,7.096,3.909,0
1.541,4.464,8.390,3.019,4.353,0
8.933,8.741,2.307,9.772,7.438,1
6.312,2.464,0.559,1.729,2.766,0
3.794,2.368,3.031,0.646,2.460,0
1.048,0.276,3.152,8.753,3.307,0
9.585,2.989,7.300,0.797,5.168,0
8.536,8.971,0.957,5.498,5.990,0
9.138,3.977,2.606,8.641,6.091,1
0.012,5.711,2.807,2.482,2.753,0
3.578,5.692,1.559,3.112,3.485,0
1.444,1.084,9.072,9.774,5.343,0
7.185,1.763,8.570,6.726,6.061,1
8.721,5.168,4.116,5.693,5.925,0
5.948,8.908,3.617,1.069,4.885,0
5.643,3.887,6.028,0.569,4.032,0
8.522,8.049,3.827,8.542,7.235,1
5.461,8.191,8.454,5.188,6.824,1
3.085,4.501,5.928,6.478,4.998,0
2.984,8.636,7.957,0.391,4.992,0
5.314,7.246,3.676,6.254,5.622,0
6.852,8.841,0.877,3.887,5.114,0
4.595,8.595,8.881,1.193,5.816,0
8.034,7.366,2.661,7.597,6.414,1
4.482,5.405,0.481,4.419,3.697,0
1.215,9.075,5.338,8.611,6.060,1
7.717,0.539,9.111,2.374,4.935,0
7.301,3.984,5.730,3.405,5.105,0
4.667,1.225,4.187,4.289,3.592,0
1.146,2.261,2.427,7.984,3.455,0
5.890,0.267,0.721,8.517,3.849,0
6.944,6.020,1.346,6.230,5.135,0
3.478,3.775,0.873,5.188,3.329,0
4.704,4.456,5.794,9.034,5.997,0
8.110,4.505,5.005,1.577,4.799,0
8.152,9.322,1.553,2.801,5.457,0
6.673,4.733,4.920,4.665,5.248,0
6.690,9.032,2.035,2.266,5.006,0
6.440,0.271,9.003,2.535,4.562,0
7.495,0.737,7.658,5.651,5.385,0
5.532,2.686,9.921,6.231,6.092,1
1.166,8.425,5.879,8.621,6.023,1
5.091,6.614,7.172,7.500,6.594,1
4.301,9.683,2.565,4.100,5.162,0
9.977,6.325,6.617,0.769,5.922,0
8.214,8.271,8.480,4.835,7.450,1
1.251,6.022,9.739,9.480,6.623,1
2.247,3.035,3.844,9.503,4.657,0
8.133,4.569,6.429,1.014,5.036,0
1.974,5.408,2.503,6.304,4.047,0
3.804,5.691,3.789,2.093,3.844,0
0.920,2.029,1.582,8.469,3.250,0
8.794,8.388,3.291,5.081,6.388,1
6.706,9.016,3.403,6.828,6.488,1
2.534,1.017,4.233,4.360,3.036,0
4.439,4.960,2.366,5.381,4.287,0
1.438,2.560,5.360,9.934,4.823,0
8.959,5.551,4.000,5.677,6.047,1
8.958,5.742,4.961,1.059,5.180,0
8.677,9.833,5.863,1.293,6.416,1
7.481,7.376,3.124,3.053,5.258,0
8.498,9.679,5.789,4.309,7.068,1
9.907,6.511,2.408,6.067,6.223,1
0.633,1.915,6.818,1.872,2.809,0
5.833,0.571,0.279,3.903,2.646,0
2.531,2.258,3.095,4.307,3.048,0
3.414,3.132,5.990,8.676,5.303,0
2.299,4.113,2.351,2.348,2.778,0
5.611,8.547,3.719,2.983,5.215,0
0.409,4.672,7.242,6.547,4.718,0
4.100,1.212,3.699,3.117,3.032,0
3.164,8.662,8.501,0.724,5.263,0
2.384,9.076,4.147,0.116,3.930,0
5.327,6.377,2.755,3.871,4.583,0
7.089,4.434,6.106,6.730,6.090,1
6.331,3.669,0.212,2.087,3.075,0
6.299,0.445,4.912,2.559,3.554,0
3.426,5.591,8.272,4.575,5.466,0
5.254,6.155,8.120,1.212,5.185,0
5.588,8.739,6.816,2.352,5.874,0
3.895,4.987,8.380,4.468,5.432,0
6.365,0.648,0.161,7.141,3.579,0
0.220,5.125,7.315,5.373,4.508,0
0.695,2.728,0.883,1.566,1.468,0
5.427,4.528,7.367,8.566,6.472,1
3.374,9.057,5.617,2.742,5.198,0
3.836,7.957,4.289,9.777,6.465,1
2.331,9.050,8.300,2.859,5.635,0
8.839,0.710,3.464,9.603,5.654,0
7.636,7.383,0.119,8.586,5.931,0
2.806,8.402,8.131,1.597,5.234,0
3.940,0.816,6.522,2.213,3.373,0
7.511,5.488,9.868,0.559,5.857,0
1.847,1.406,8.353,1.001,3.152,0
2.905,5.129,6.326,5.127,4.872,0
8.021,6.130,4.186,7.175,6.378,1
3.526,4.907,4.468,9.362,5.566,0
7.420,0.517,8.189,4.791,5.229,0
5.508,1.307,6.837,8.274,5.481,0
4.729,0.845,6.095,5.209,4.220,0
7.644,7.870,9.712,6.692,7.980,1
0.845,7.587,6.841,2.078,4.338,0
6.352,3.413,0.836,6.980,4.396,0
3.136,4.317,6.333,5.389,4.794,0
7.056,4.182,1.859,3.213,4.078,0
8.356,5.363,0.376,4.729,4.706,0
5.557,1.505,0.168,0.947,2.044,0
6.827,9.596,0.157,1.636,4.554,0
8.114,0.658,8.495,5.758,5.757,0
4.917,2.913,1.419,9.912,4.790,0
4.713,5.404,5.806,3.793,4.929,0
5.788,4.409,2.959,0.960,3.529,0
1.316,2.216,9.905,3.988,4.356,0
9.817,6.998,9.207,1.527,6.887,1
9.842,9.502,5.601,0.037,6.246,1
3.670,0.204,2.287,0.163,1.581,0
3.957,0.572,7.500,8.924,5.239,0
7.491,7.005,9.930,7.016,7.860,1
7.732,1.321,5.550,2.680,4.321,0
9.204,8.799,5.296,6.003,7.325,1
8.555,7.837,8.159,3.481,7.008,1
2.526,3.537,8.935,5.767,5.191,0
6.672,2.593,1.168,0.608,2.760,0
6.107,8.860,9.683,0.130,6.195,1
5.338,2.678,5.189,3.218,4.106,0
0.507,1.338,8.701,8.211,4.689,0
1.358,8.415,5.646,7.916,5.834,0
6.888,8.724,2.026,4.768,5.601,0
6.335,1.779,8.179,6.109,5.600,0
2.792,3.678,5.695,3.464,3.908,0
2.675,0.330,8.510,5.805,4.330,0
4.434,6.932,4.043,4.665,5.019,0
0.411,3.147,5.596,1.482,2.659,0
2.297,7.538,3.391,4.801,4.506,0
2.512,1.146,5.721,6.663,4.011,0
6.799,0.425,1.638,1.157,2.505,0
8.898,8.118,2.459,4.091,5.892,0
0.338,5.174,6.477,4.679,4.167,0
9.880,1.219,2.498,0.967,3.641,0
6.867,5.679,7.502,3.953,6.000,1
3.530,8.603,0.695,6.881,4.927,0
5.895,8.483,6.186,3.434,5.999,0
0.320,2.378,2.748,0.299,1.436,0
0.434,5.774,0.456,3.049,2.428,0
1.832,1.828,4.509,1.548,2.429,0
0.359,9.409,2.189,3.916,3.968,0
9.259,4.779,3.525,3.563,5.282,0
5.538,0.909,8.634,8.345,5.857,0
6.200,1.722,8.414,4.016,5.088,0
7.686,4.734,9.891,7.794,7.526,1
0.174,9.256,9.331,0.212,4.743,0
8.456,9.082,7.017,9.263,8.454,1
5.668,6.852,6.533,8.911,6.991,1
5.876,9.456,6.625,7.705,7.415,1
2.056,9.501,6.570,8.632,6.689,1
4.703,1.892,1.963,0.083,2.160,0
5.482,0.408,0.670,9.581,4.035,0
6.272,6.342,6.912,4.483,6.002,1
9.122,0.372,8.843,1.728,5.016,0
1.862,6.251,5.779,1.953,3.961,0
6.126,9.698,9.249,7.687,8.190,1
8.168,4.422,1.078,8.134,5.451,0
2.917,8.656,1.850,6.813,5.059,0
3.518,8.253,4.155,0.587,4.128,0
1.310,2.339,5.847,5.846,3.836,0
5.422,5.785,2.315,4.982,4.626,0
0.770,6.336,2.117,5.124,3.587,0
1.692,2.875,1.087,3.131,2.196,0
5.018,8.025,8.387,0.724,5.539,0
6.634,5.966,7.818,6.086,6.626,1
7.123,9.374,4.345,7.448,7.072,1
8.836,4.999,5.935,2.727,5.625,0
7.690,7.568,1.340,4.762,5.340,0
7.392,3.203,1.412,6.233,4.560,0
0.070,6.190,2.262,5.017,3.385,0
7.393,6.543,2.722,1.859,4.629,0
7.231,6.342,5.306,6.066,6.236,1
7.204,1.734,8.190,2.955,5.021,0
9.813,3.950,8.650,6.224,7.159,1
9.676,4.313,0.826,5.012,4.957,0
7.491,4.087,7.245,2.584,5.352,0
2.080,4.494,2.665,3.255,3.123,0
0.402,2.591,7.687,3.990,3.667,0
9.637,0.545,4.605,1.109,3.974,0
0.603,3.048,7.401,1.334,3.097,0
8.902,6.910,2.609,2.273,5.173,0
8.806,4.434,5.201,0.280,4.680,0
5.551,9.284,5.552,3.084,5.868,0
5.846,7.511,2.811,1.786,4.488,0
6.178,3.678,0.794,9.509,5.040,0
6.409,2.028,3.044,3.027,3.627,0
7.840,9.045,9.462,0.987,6.833,1
0.328,7.806,9.751,4.513,5.599,0
9.428,6.348,3.793,4.626,6.049,1
7.796,6.009,2.854,5.953,5.653,0
1.941,7.455,0.939,2.591,3.232,0
0.908,9.035,6.453,0.081,4.119,0
2.062,7.476,7.798,4.270,5.401,0
0.490,9.001,2.110,2.567,3.542,0
1.486,6.408,8.941,8.002,6.209,1
9.443,6.007,6.649,0.810,5.728,0
5.611,4.144,5.582,5.697,5.258,0
3.330,4.636,3.271,5.362,4.150,0
5.358,8.438,6.824,9.270,7.472,1
1.597,6.509,8.501,8.385,6.248,1
7.194,0.880,1.657,7.174,4.226,0
7.997,5.272,7.193,5.249,6.428,1
3.140,2.174,6.167,6.737,4.554,0
8.479,7.835,3.147,0.070,4.883,0
2.834,8.217,7.345,5.570,5.992,0
9.770,0.766,2.226,9.289,5.513,0
8.944,2.902,9.468,1.630,5.736,0
2.605,0.259,0.248,6.056,2.292,0
7.556,1.884,9.822,7.192,6.613,1
8.001,9.520,6.282,4.914,7.179,1
8.076,8.086,1.006,6.422,5.897,0
4.505,1.418,0.678,9.371,3.993,0
9.903,8.881,1.732,7.276,6.948,1
2.995,5.879,2.683,4.780,4.084,0
0.728,3.946,7.329,9.784,5.447,0
1.267,7.344,3.925,7.356,4.973,0
5.904,0.989,1.631,9.695,4.555,0
4.689,0.376,9.938,1.693,4.174,0
7.600,7.357,4.689,4.629,6.069,1
